application,body,U_inf_mps,Re,u_tau_mps,shape,spacing_um,h_over_s,s_plus,lg_plus,DR_friction_pct,in_band
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,blade,50,0.5,2.196,1.513,1.4,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,scalloped,50,0.5,2.196,1.203,0.669,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,v-groove,50,0.5,2.196,1.098,0.582,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,u-groove,50,0.5,2.196,1.268,0.597,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,blade,75,0.5,3.293,2.27,2.1,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,scalloped,75,0.5,3.293,1.804,1.003,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,v-groove,75,0.5,3.293,1.647,0.873,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,u-groove,75,0.5,3.293,1.902,0.895,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,blade,100,0.5,4.391,3.026,2.8,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,scalloped,100,0.5,4.391,2.405,1.337,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,v-groove,100,0.5,4.391,2.196,1.164,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,u-groove,100,0.5,4.391,2.536,1.193,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,blade,150,0.5,6.587,4.539,4.2,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,scalloped,150,0.5,6.587,3.608,2.006,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,v-groove,150,0.5,6.587,3.293,1.747,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,u-groove,150,0.5,6.587,3.804,1.79,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,blade,200,0.5,8.782,6.053,5.6,False
car_roof,attached zone only; rear separation NOT modelled,15,1440778.7993510005,0.68573,scalloped,200,0.5,8.782,4.81,2.675,False
