application,body,U_inf_mps,Re,u_tau_mps,shape,spacing_um,h_over_s,s_plus,lg_plus,DR_friction_pct,in_band
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,blade,10,0.5,0.037,0.025,0.023,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,scalloped,10,0.5,0.037,0.02,0.011,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,v-groove,10,0.5,0.037,0.018,0.01,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,u-groove,10,0.5,0.037,0.021,0.01,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,blade,15,0.5,0.055,0.038,0.035,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,scalloped,15,0.5,0.055,0.03,0.017,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,v-groove,15,0.5,0.055,0.027,0.015,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,u-groove,15,0.5,0.055,0.032,0.015,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,blade,20,0.5,0.073,0.05,0.047,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,scalloped,20,0.5,0.073,0.04,0.022,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,v-groove,20,0.5,0.073,0.037,0.019,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,u-groove,20,0.5,0.073,0.042,0.02,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,blade,25,0.5,0.091,0.063,0.058,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,scalloped,25,0.5,0.091,0.05,0.028,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,v-groove,25,0.5,0.091,0.046,0.024,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,u-groove,25,0.5,0.091,0.053,0.025,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,blade,30,0.5,0.11,0.076,0.07,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,scalloped,30,0.5,0.11,0.06,0.033,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,v-groove,30,0.5,0.11,0.055,0.029,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,u-groove,30,0.5,0.11,0.063,0.03,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,blade,40,0.5,0.146,0.101,0.093,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,scalloped,40,0.5,0.146,0.08,0.045,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,v-groove,40,0.5,0.146,0.073,0.039,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,u-groove,40,0.5,0.146,0.084,0.04,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,blade,50,0.5,0.183,0.126,0.116,False
swimwear,water; do not transfer air results directly,1.2,940988.7640449438,0.05706,scalloped,50,0.5,0.183,0.1,0.056,False
