application,body,U_inf_mps,Re,u_tau_mps,shape,spacing_um,h_over_s,s_plus,lg_plus,DR_friction_pct,in_band
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,blade,20,0.5,0.585,0.403,0.373,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,scalloped,20,0.5,0.585,0.32,0.178,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,v-groove,20,0.5,0.585,0.292,0.155,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,u-groove,20,0.5,0.585,0.338,0.159,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,blade,30,0.5,0.877,0.604,0.559,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,scalloped,30,0.5,0.877,0.48,0.267,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,v-groove,30,0.5,0.877,0.438,0.233,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,u-groove,30,0.5,0.877,0.506,0.238,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,blade,40,0.5,1.169,0.806,0.746,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,scalloped,40,0.5,1.169,0.64,0.356,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,v-groove,40,0.5,1.169,0.585,0.31,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,u-groove,40,0.5,1.169,0.675,0.318,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,blade,50,0.5,1.461,1.007,0.932,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,scalloped,50,0.5,1.461,0.8,0.445,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,v-groove,50,0.5,1.461,0.731,0.388,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,u-groove,50,0.5,1.461,0.844,0.397,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,blade,60,0.5,1.754,1.209,1.118,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,scalloped,60,0.5,1.754,0.961,0.534,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,v-groove,60,0.5,1.754,0.877,0.465,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,u-groove,60,0.5,1.754,1.013,0.476,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,blade,80,0.5,2.338,1.612,1.491,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,scalloped,80,0.5,2.338,1.281,0.712,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,v-groove,80,0.5,2.338,1.169,0.62,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,u-groove,80,0.5,2.338,1.35,0.635,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,blade,100,0.5,2.923,2.014,1.864,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,scalloped,100,0.5,2.923,1.601,0.89,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,v-groove,100,0.5,2.923,1.461,0.775,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,u-groove,100,0.5,2.923,1.688,0.794,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,blade,150,0.5,4.384,3.022,2.796,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,scalloped,150,0.5,4.384,2.401,1.335,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,v-groove,150,0.5,4.384,2.192,1.163,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,u-groove,150,0.5,4.384,2.532,1.191,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,blade,200,0.5,5.846,4.029,3.728,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,scalloped,200,0.5,5.846,3.202,1.78,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,v-groove,200,0.5,5.846,2.923,1.55,False
uav_wing,"flat-plate analogy, friction-dominated",8,153683.07193077338,0.45644,u-groove,200,0.5,5.846,3.376,1.588,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,blade,20,0.5,0.713,0.492,0.455,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,scalloped,20,0.5,0.713,0.391,0.217,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,v-groove,20,0.5,0.713,0.357,0.189,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,u-groove,20,0.5,0.713,0.412,0.194,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,blade,30,0.5,1.07,0.738,0.682,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,scalloped,30,0.5,1.07,0.586,0.326,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,v-groove,30,0.5,1.07,0.535,0.284,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,u-groove,30,0.5,1.07,0.618,0.291,False
