geometry_id,geometry_class,shape,body,spacing_um,height_um,h_over_s,diameter_mm,depth_ratio,pattern,coverage_pct,denticle_scale_um,overlap_pct,U_inf_mps,Re_L,Re_D,u_tau_mps,delta_v_um,s_plus,lg_plus,k_plus,Cf_smooth,Cf_textured,Cd_pressure,Cd_total,DR_friction_pct,DR_net_pct,DR_uncertainty_pp,delta_Re_transition,natural_regime,min_feature_um,manufacturability_index,model_confidence
A-V-s50-h25,riblet,v-groove,plate,50.0,25.0,0.5,,,,,,,1.0,6403.46133,,0.08504,918.18522,0.272276,0.136138,0.020421,0.014464,0.014453,0.0,0.014453,0.072206,0.072206,1.5,0.0,laminar,25.0,4.9,low
A-V-s50-h25,riblet,v-groove,sphere,50.0,25.0,0.5,,,,,,,1.0,,2734.277988,0.097016,804.841687,0.31062,0.15531,0.023297,0.011676,0.011677,0.377875,0.389552,0.082375,-0.087783,3.1,0.0,separation-dominated,25.0,4.9,low
A-V-s50-h25,riblet,v-groove,plate,50.0,25.0,0.5,,,,,,,5.0,32017.306652,,0.342095,228.248875,1.095296,0.547648,0.082147,0.009362,0.009335,0.0,0.009335,0.290467,0.290467,1.5,0.0,laminar,25.0,4.9,high
A-V-s50-h25,riblet,v-groove,sphere,50.0,25.0,0.5,,,,,,,5.0,,13671.389941,0.38203,204.389234,1.223156,0.611578,0.091737,0.013046,0.013014,0.42216,0.435175,0.324375,-0.071041,3.1,0.0,separation-dominated,25.0,4.9,high
A-V-s50-h25,riblet,v-groove,plate,50.0,25.0,0.5,,,,,,,10.0,64034.613304,,0.629421,124.0549,2.015237,1.007618,0.151143,0.007923,0.007881,0.0,0.007881,0.534431,0.534431,1.5,0.0,laminar,25.0,4.9,high
A-V-s50-h25,riblet,v-groove,sphere,50.0,25.0,0.5,,,,,,,10.0,,27342.779881,0.697855,111.889674,2.234344,1.117172,0.167576,0.014108,0.014035,0.456493,0.470528,0.592537,-0.05689,3.1,0.0,separation-dominated,25.0,4.9,high
A-V-s50-h25,riblet,v-groove,plate,50.0,25.0,0.5,,,,,,,20.0,128069.226609,,1.16396,67.08374,3.726686,1.863343,0.279501,0.006774,0.006707,0.0,0.006707,0.988299,0.988299,1.5,0.0,laminar-transitional,25.0,4.9,high
A-V-s50-h25,riblet,v-groove,sphere,50.0,25.0,0.5,,,,,,,20.0,,54685.559762,1.282384,60.888753,4.105849,2.052924,0.307939,0.01466,0.014511,0.474341,0.488851,1.088851,-0.037803,3.1,0.0,separation-dominated,25.0,4.9,high
A-V-s50-h25,riblet,v-groove,plate,50.0,25.0,0.5,,,,,,,50.0,320173.066522,,2.641463,29.560421,8.457254,4.228627,0.634294,0.005582,0.005457,0.0,0.005457,2.242822,2.242822,1.5,0.0,laminar-transitional,25.0,4.9,high
A-V-s50-h25,riblet,v-groove,sphere,50.0,25.0,0.5,,,,,,,50.0,,136713.899405,2.889182,27.025911,9.250382,4.625191,0.693779,0.014708,0.014308,0.47427,0.488578,2.453155,0.341218,3.1,0.0,separation-dominated,25.0,4.9,high
